Step #2350.00 (0ms ?*RT. ?UPS, TraCI: 37ms, vehicles TOT 91 ACT 91 BUF 0)                 
Step #2400.00 (0ms ?*RT. ?UPS, TraCI: 42ms, vehicles TOT 96 ACT 96 BUF 0)                 
Step #2450.00 (0ms ?*RT. ?UPS, TraCI: 42ms, vehicles TOT 97 ACT 97 BUF 0)                 
Step #2500.00 (0ms ?*RT. ?UPS, TraCI: 43ms, vehicles TOT 101 ACT 101 BUF 0)               
Step #2550.00 (0ms ?*RT. ?UPS, TraCI: 46ms, vehicles TOT 103 ACT 103 BUF 0)               
Step #2600.00 (0ms ?*RT. ?UPS, TraCI: 47ms, vehicles TOT 106 ACT 106 BUF 0)               
Step #2650.00 (0ms ?*RT. ?UPS, TraCI: 49ms, vehicles TOT 111 ACT 111 BUF 0)               
Step #2700.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 114 ACT 114 BUF 0)               
Step #2750.00 (0ms ?*RT. ?UPS, TraCI: 49ms, vehicles TOT 117 ACT 117 BUF 0)               
Step #2800.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 119 ACT 117 BUF 0)               
Step #2850.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 123 ACT 119 BUF 0)               
Step #2900.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 125 ACT 119 BUF 0)               
Step #2950.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 129 ACT 120 BUF 0)               
Step #3000.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 130 ACT 119 BUF 0)               
Step #3050.00 (1ms ~= 500.00*RT, ~120000.00UPS, TraCI: 54ms, vehicles TOT 132 ACT 120 BUF 
Step #3100.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 135 ACT 122 BUF 0)               
Step #3150.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 137 ACT 119 BUF 0)               
Step #3200.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 141 ACT 122 BUF 0)               
Step #3250.00 (1ms ~= 500.00*RT, ~124000.00UPS, TraCI: 53ms, vehicles TOT 145 ACT 124 BUF 
Step #3300.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 150 ACT 127 BUF 0)               
Step #3350.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 155 ACT 130 BUF 0)               
Step #3400.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 155 ACT 128 BUF 0)               
Step #3450.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 159 ACT 130 BUF 0)               
Step #3500.00 (1ms ~= 500.00*RT, ~130000.00UPS, TraCI: 58ms, vehicles TOT 160 ACT 130 BUF 
Step #3550.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 164 ACT 132 BUF 0)               
Step #3600.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 166 ACT 134 BUF 0)               
Step #3650.00 (1ms ~= 500.00*RT, ~133000.00UPS, TraCI: 60ms, vehicles TOT 168 ACT 133 BUF 
Step #3700.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 170 ACT 131 BUF 0)               
Step #3750.00 (1ms ~= 500.00*RT, ~130000.00UPS, TraCI: 58ms, vehicles TOT 171 ACT 130 BUF 
Step #3800.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 175 ACT 131 BUF 0)               
Step #3850.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 179 ACT 134 BUF 0)               
Step #3900.00 (1ms ~= 500.00*RT, ~135000.00UPS, TraCI: 60ms, vehicles TOT 182 ACT 135 BUF 
Step #3950.00 (1ms ~= 500.00*RT, ~133000.00UPS, TraCI: 59ms, vehicles TOT 184 ACT 133 BUF 
Step #4000.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 185 ACT 129 BUF 0)               
Step #4050.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 187 ACT 130 BUF 0)               
Step #4100.00 (0ms ?*RT. ?UPS, TraCI: 44ms, vehicles TOT 190 ACT 129 BUF 0)               
Step #4150.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 193 ACT 128 BUF 0)               
Step #4200.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 194 ACT 124 BUF 0)               
Step #4250.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 198 ACT 126 BUF 0)               
Step #4300.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 200 ACT 126 BUF 0)               
Step #4350.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 201 ACT 123 BUF 0)               
Step #4400.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 206 ACT 125 BUF 0)               
Step #4450.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 209 ACT 124 BUF 0)               
Step #4500.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 211 ACT 125 BUF 0)               
Step #4550.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 215 ACT 126 BUF 0)               
Step #4600.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 219 ACT 129 BUF 0)               
Step #4650.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 221 ACT 129 BUF 0)               
Step #4700.00 (1ms ~= 500.00*RT, ~132000.00UPS, TraCI: 58ms, vehicles TOT 225 ACT 132 BUF 
Step #4750.00 (1ms ~= 500.00*RT, ~132000.00UPS, TraCI: 57ms, vehicles TOT 228 ACT 132 BUF 
Step #4800.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 231 ACT 132 BUF 0)               
Step #4850.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 234 ACT 131 BUF 0)               
Step #4900.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 235 ACT 127 BUF 0)               
Step #4950.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 240 ACT 126 BUF 0)               
Step #5000.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 241 ACT 122 BUF 0)               
Step #5050.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 243 ACT 120 BUF 0)               
Step #5100.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 245 ACT 119 BUF 0)               
